Nom,Nom url,Developpeur,Categorie(s),Nombre installations,Date de mise a jour,Taille,Version Actuelle,Version Android,Note,Date,Heure
Connect Master - Pair Matching,unicostudio.connect,Unico Studio,Board,100000,2022-03-29 00:00:00.000000,90 Mo,2.0.4,6.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:32.363361
Number Match - number games,easybrain.number.puzzle.game,Easybrain,Board,10000000,2022-02-22 00:00:00.000000,59 Mo,1.8.0,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:32.481996
Tap Color Pro: Color By Number,color.number.happy.paint.art.drawing.puzzle,Puzzle Saga Studio,Board,10000000,2022-04-08 00:00:00.000000,42 Mo,5.6.7,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:32.599748
Tile Connect Master: Match fun,tile.match.connect.game,Joymaster Studio,Board,5000000,2022-03-29 00:00:00.000000,77 Mo,1.5.0,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:32.716513
Chess - Play and Learn,chess,Chess.com,Board,10000000,2022-04-08 00:00:00.000000,48 Mo,4.4.8.,5.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:32.839714
Color by Number Coloring Games,artlife.color.number.coloring.games,Fuero Games Sp. z o.o.,Board,5000000,2022-04-02 00:00:00.000000,56 Mo,3.3.2,4.4,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:33.271865
3 Tiles - Tile Matching Games,master.connect.matching.game,Appsulove,Board,5000000,2022-04-08 00:00:00.000000,104 Mo,2.7.0.0,7.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:33.501280
Tile Master - Classic Match,tilemaster.puzzle.block.match,Higgs Studio,Board,50000000,2022-02-23 00:00:00.000000,74 Mo,2.7.16,4.4,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:33.655811
Colorscapes® - Color by Number,artlife.coloringbook,Fuero Games Sp. z o.o.,Board,10000000,2022-04-02 00:00:00.000000,63 Mo,3.5.0,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:33.779623
Color by Number - Colorswipes,artlife.color.number.coloring.book,Fuero Games Sp. z o.o.,Board,1000000,2022-04-01 00:00:00.000000,69 Mo,3.6.4,4.4,4.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:33.904144
Pixel Paint - Coloring Book,dinofun.paintbynumber.pixelgame,ONESOFT,Board,5000000,2022-04-06 00:00:00.000000,74 Mo,2.0.2,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.020441
Color by Number ®: No.Draw,creative.sandbox.number.drawning.coloring,Creative APPS,Board,50000000,2022-04-07 00:00:00.000000,35 Mo,1.8.4,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.139667
Dot Puzzle,merge.free.puzzle,Game Maker Ltd.,Board,50000,2022-03-30 00:00:00.000000,70 Mo,1.0.6,6.0,5.0,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.312204
